School,Program,Level,Added on,Decision,GPA,GRE V,GRE Q,GRE AW,Comment
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical And Electronic Engineering,Masters,"March 12, 2011",Accepted,3.60,800,,3.50,No funding available for the moment. Inquiring about other fundings.
Ecole Polytechnique Federale De Lausanne (EPFL),"Communication Science, Masters (F10)",Masters,"March 17, 2010",Other,,,,,"To the poster below, yes they sent me an email and wrote about some kind of research scholar, which is available only for top admitted students to apply for, but they didn't write anything about the emolument."
Ecole Polytechnique Federale De Lausanne (EPFL),"Communication Science, Masters (F10)",Masters,"March 17, 2010",Other,,,,,"To the poster below, yes they sent me an email and wrote about some kind of research scholar, which is available only for top admitted students to apply for, but they didn't write anything about the emolument."
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Science,Masters,"March 13, 2010",Other,,,,,Does anybody know how much is research scholarship?
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering And Biotechnology,Masters,"March 03, 2009",Accepted,,,,,:) Dream school Scholarship not yet
EPFL (Ecole Polytechnique Fédérale De Lausanne),Energy Management And Sustainability,Masters,"November 30, 2001",Other,,,,,"Recently submitted. Wish me luck. If anyone applied the same program, feel free to contact me at tan.panama@outlook.com"
EPFL Lausanne,Physics,Masters,"November 30, 2001",Rejected,,159,,4.00,"Good grades, several projects, 1 publication. Very disappointed."
EPFL - Ã‰cole Polytechnique FÃ©dÃ©rale De Lausanne,Data Science,Masters,"November 30, 2001",Accepted,3.97,,,,"Statistics and mathematics background with a few courses in computer science. Required to take ""up to 20 credits at EPFL""."
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Civil Engineering,Masters,"November 30, 2001",Accepted,,,,,no excellence fellowship
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Science,Masters,"November 30, 2001",Accepted,3.47,,,,no fellowship
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical And Electronics Engineering,Masters,"November 30, 2001",Accepted,3.70,152,,4.50,"Excellence Fellowship was not granted. Won't be going though, so I really hope they'll let another applicant take my spot."
Ecole Polytechnique Federale De Lausanne (EPFL),Computational Science and Engineering,Masters,"November 30, 2001",Accepted,,154,,3.50,"Aerospace Engineering Undergraduate from IIT Bombay, India. GPA 8.85/10. Did a summer internship at ICES, UT Austin in 2015. 2 years of projects and graduate courses in Computational Sciences. 1 Publication in International Astronautical Congress. Had low grades in key math courses indicating EPFL doesn't give grades that high a weight."
Ecole Polytechnique Federale De Lausanne (EPFL),"Management, Technology And Entrepreneurship",Masters,"November 30, 2001",Rejected,3.00,,,,Oh no.
Ecole Polytechnique Federale De Lausanne (EPFL),Physics,Masters,"November 30, 2001",Rejected,,166,,4.50,"~89% in undergrad, decent projects (including 1 publication), great references. Was really hoping to get in but :("
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Biology,Masters,"November 30, 2001",Rejected,,,,,Sad :(
Ecole Polytechnique Federale De Lausanne (EPFL),Civil Engineering,Masters,"November 30, 2001",Accepted,3.31,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"November 30, 2001",Rejected,,,,,"Electrical Engineering undergraduate from a Brazilian university. 1 conference publication, 1 submitted journal publication, GPA 8.1/10, 1 international award in an IEEE competiton."
Ecole Polytechnique Federale De Lausanne (EPFL),Microengineering,Masters,"November 30, 2001",Rejected,3.90,,,,"Graduated rank 1, one publication as main author, volunteering projects and extracurricular activities. I guess they don't accept graduates of unknown universities from Eastern Europe."
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Masters,"November 30, 2001",Rejected,4.00,155,,,One year internship during Bachelor's degree. One publication. Top UK University.
Ecole Polytechnique Federale De Lausanne (EPFL),Computational Science and Engineering,Masters,"November 30, 2001",Rejected,3.44,148,,4.00,Physics Major - Mathematics Minor \ GRE Subject Mathematics
Ecole Polytechnique Federale De Lausanne (EPFL),ECE (Electrical And Electronics Engineering),Masters,"November 30, 2001",Rejected,8.03,162,,4.50,Highly qualified pool of candidates and blah blah. Regret
Ecole Polytechnique Federale De Lausanne (EPFL),Environmental Sciences And Engineering,Masters,"November 30, 2001",Accepted,,,,,reserve candidate for fellowship
Ecole Polytechnique Federale De Lausanne (EPFL),Materials Science,Masters,"November 30, 2001",Rejected,,,,,"Eh, doesn't matter. I'm sleeping with EPFL's way hotter sister ETH anyway. Their lose :)"
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Masters,"November 30, 2001",Rejected,3.65,170,,3.50,"Good projects, good ranking, 2-month internship, no paper. References might be weak. First rejection..."
Ecole Polytechnique Federale De Lausanne (EPFL),Materials Science And Engineering,Masters,"November 30, 2001",Rejected,3.20,,,,"Two top journal coauthors (JACS and Nano Letters), very good rocos. I think it is because my average GPA (3.2/4, rank ~50%)"
Ecole Polytechnique Federale De Lausanne (EPFL),Department Of Mechanical Engineering,Masters,"November 30, 2001",Rejected,,156,,4.50,"I had two non academic recos which, as mentioned in their site, are not favourable. From one of the best engineering schools in India."
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Department Of Mechanical Engineering,Masters,"November 30, 2001",Accepted,4.00,151,,3.00,
Ecole Polytechnique Federale De Lausanne (EPFL),Master Of Science,Masters,"November 30, 2001",Other,,,,,Anyone got an answer for April 15th deadline ??
Ecole Polytechnique Federale De Lausanne (EPFL),Basic & Biomedical Sciences,Masters,"November 30, 2001",Accepted,,,,,Need to decide between this and Delft and ETH.
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering,Masters,"November 30, 2001",Accepted,,,,,"GPA 4.5/5 from top university, Very good references, research experience in physics."
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Systems,Masters,"November 30, 2001",Accepted,3.00,,,,Bsc. in Electrical and Computer Engineering from best portuguese University (IST). GPA 16.33/20. Good References from professors who worked in projects with EPFL. No internship. No English certificate.
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Systems,Masters,"November 30, 2001",Other,,,,,18:12 Swiss time and I am still waiting. I wrote them in the begginning of the week and they told me that this week they would send the results but still nothing. I am going crazy...
Ecole Polytechnique Federale De Lausanne (EPFL),Molecular And Biological Chemistry,Masters,"November 30, 2001",Other,,,,,I am still waiting.
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering,Masters,"November 30, 2001",Other,4.00,,,,I am awaiting the results. Seems it will take forever to get the results.Beginning of june is almost over!
Ecole Polytechnique Federale De Lausanne (EPFL),Life Sciences And Technology,Masters,"November 30, 2001",Other,,,,,Waiting for Godot
Ecole Polytechnique Federale De Lausanne (EPFL),Life Science And Technology,Masters,"November 30, 2001",Other,,,,,What is wrong? no results yet !!
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Life Science & Technology,Masters,"November 30, 2001",Other,,,,,Where is the result?? I'm still waiting and hoping for a good news
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Systems,Masters,"November 30, 2001",Other,,,,,"Cant sleep or eat, why do they take so long??? I am shutting down my internet for today for sanity... Tomorrow, hopefully, we will get it."
Ecole Polytechnique Federale De Lausanne (EPFL),Energy Management And Sustainability,Masters,"November 30, 2001",Other,,,,,Anybody know whether Swiss people work or not on weekends?
Ecole Polytechnique Federale De Lausanne (EPFL),Bioenginering,Masters,"November 30, 2001",Other,,,,,I mailed the student services today regarding the decisions.Didn't receive any reply. Guess they don't work on weekends.i will post the reply here once i get the response.
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Systems,Masters,"November 30, 2001",Other,,,,,"Almost 9AM Swiss time. Just emailed them, let's see what they will answer and hope for the results for today. I will post here their reply once I get it."
Ecole Polytechnique Federale De Lausanne (EPFL),Advanced Mechanical Engineering,Masters,"November 30, 2001",Rejected,,,,,"Top UK university, excellent grades , alright references, one year internship"
Ecole Polytechnique Federale De Lausanne (EPFL),Chemical Engineering & Biotechnology,Masters,"November 30, 2001",Rejected,,,,,"Because of the high number of requests and the school's requirements, once again this year the commission has had to refuse many valuable requests."
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Systems,Masters,"November 30, 2001",Rejected,,,,,"Sad... ""Because of the high number of requests and the school's requirements, once again this year the commission has had to refuse many valuable requests."""
Ecole Polytechnique Federale De Lausanne (EPFL),Financial Engineering,Masters,"November 30, 2001",Rejected,,,,,"We are sorry to let you know that, following a careful assessment of your request, your application to one of EPFL's Master's programs has been rejected by the Vice-President for Academic Affairs'Admissions Board (art. 16 s. 2 let. b of the Federal Act on the Federal Institutes of Technology [RS 414.110] and art. 11 of the Ordinance on Admission to EPFL [RS 414.110.422.3]). Because of the high number of requests and the school's requirements, once again this year the commission has had to refuse many valuable requests. We thank you for your interest in EPFL and wish you every success in your further career."
Ecole Polytechnique Federale De Lausanne (EPFL),Bioenengineering,Masters,"November 30, 2001",Rejected,,,,,
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Masters,"November 30, 2001",Rejected,,,,,"Top UK university, good grades, one year internship and good recommendation letters....very strange that everyone's getting rejected from EPFL!"
Ecole Polytechnique Federale De Lausanne (EPFL),Life Science & Technology,Masters,"November 30, 2001",Accepted,,,,,With Excellence fellowship. Going to Decline the offer
Ecole Polytechnique Federale De Lausanne (EPFL),Environmental Engineering And Sicence,Masters,"November 30, 2001",Rejected,,,,,I had internship at famous institute and many extracuricular activity and good recomendations but rejected very strange cus most stutent for master's degree seemes to be rejected.
Ecole Polytechnique Federale De Lausanne (EPFL),(Pure) Mathematics,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Environmental Science and Engineering,Masters,"November 30, 2001",Rejected,,,,,"Unemployment and debt, here I come!"
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering M.S,Masters,"November 30, 2001",Accepted,3.94,,,,Congrats to everyone who got accepted. Do any of guys know when they will notify us about the Excellence Scholarship?
Ecole Polytechnique Federale De Lausanne (EPFL),Adv. Materials Science And Engineering,Masters,"November 30, 2001",Rejected,,,,,Definitely hurts!
Ecole Polytechnique Federale De Lausanne (EPFL),Master In Financial Engineering,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Applied Mathematics,Masters,"November 30, 2001",Accepted,,,,,No scholarship. Won't go then.
Ecole Polytechnique Federale De Lausanne (EPFL),Data Science,Masters,"November 30, 2001",Rejected,3.50,,,,"Top 1% in class, research experience in the field, strong recommendations. Unexpected."
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Masters,"November 30, 2001",Rejected,,,,,"First Class, 1 internship and 3 strong LORs. What more can I do, to get in?"
Ecole Polytechnique Federale De Lausanne (EPFL),( ECE ) Electrical Engineering,Masters,"November 30, 2001",Rejected,,,,,"CGPA 8.07/10, TOEFL 110, 4 IEEE/ACM Publications, 1 Book Chapter, 2 Foreign internships in UG, 1 Patent, B.Tech ECE from India, Did not submit GRE. Disappointed, but have other admits thankfully. Probably because my CGPA is less and UG univ is not internationally reputed."
Ecole Polytechnique Federale De Lausanne (EPFL),Master In Financial Engineering,Masters,"November 30, 2001",Accepted,,,,,GRE 332 Undergrad civil engineering 3.84/4.3. But Excellence Fellowship not awarded
Ecole Polytechnique Federale De Lausanne (EPFL),Materials Science And Engineering (EDMX),Masters,"November 30, 2001",Rejected,,,,,Pretty disappointing :(
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering,Masters,"November 30, 2001",Accepted,3.91,160,,4.50,Rejected for the scholarship.
Ecole Polytechnique Federale De Lausanne (EPFL),Molecular And Biological Chemistry,Masters,"November 30, 2001",Accepted,,,,,"First class degree, GRE >330, TOEFL>110, internship at EPFL, excellence fellowship rejected"
Ecole Polytechnique Federale De Lausanne (EPFL),Molecular And Biological Chemistry,Masters,"November 30, 2001",Accepted,4.00,170,,5.00,"Did not get excellence award. Will decline, since I got accepted to Stanford and Cambridge. Top school from India."
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering,Masters,"November 30, 2001",Rejected,,,,,disappointing :/
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Masters,"November 30, 2001",Accepted,,,,,Accepted to the program and offered Excellence Fellowship.
Ecole Polytechnique Federale De Lausanne (EPFL),"""Physics""",Masters,"November 30, 2001",Accepted,,,,,GPA: 81/100. no publication
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Microengineering,Masters,"November 30, 2001",Rejected,3.52,,,,"No paper, 2 internships, took all the robotics courses offered in college. Very disappointed, ready to argue."
Ecole Polytechnique Federale De Lausanne (EPFL),Life Science And Technology,Masters,"November 30, 2001",Rejected,3.00,,,,Standard rejection e-mail. I expected it since my Gpa Is not so good...
Ecole Polytechnique Federale De Lausanne (EPFL),Mathematics,Masters,"November 30, 2001",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical And Electronics Engineering,Masters,"November 30, 2001",Accepted,3.65,148,,4.00,No Excellence Fellowship.
Ecole Polytechnique Federale De Lausanne (EPFL),Energy Management And Sustainability,Masters,"November 30, 2001",Accepted,,,,,Does anyone have problems confirming their participation? I canâ€™t submit the id photo and validate my confirmation. I mailed the student services but they haven't answered yet. Please help me.
Ecole Polytechnique Federale De Lausanne (EPFL),"""Physics""",Masters,"November 30, 2001",Rejected,3.50,166,,5.50,
Ecole Polytechnique Federale De Lausanne (EPFL),"""Physics""",Masters,"November 30, 2001",Other,,,,,"To the post below, how did they notify you?"
Ecole Polytechnique Federale De Lausanne (EPFL),"""Physics""",Masters,"November 30, 2001",Rejected,,,,,I got an email last week with the rejection letter attached
Ecole Polytechnique Federale De Lausanne (EPFL),Civil Engineering,Masters,"November 30, 2001",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),"Management, Technology And Entrepreneurship",Masters,"November 30, 2001",Rejected,3.23,160,,5.00,"Rejected from MTE, but accepted to MTEC at ETH. My guess is that ETH prefers practical experiences and EPFL is more focused on purely academic results, which doesn't make sense for this type of program. EPFL didn't even allow you to submit reference letters from managers, only professors, so that says something about their priorities!"
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Robotics,Masters,"November 30, 2001",Accepted,,,,,"From a top 3 engineering school of France, after preparatory classes. 8 out of 9 IELTS. Top 10% in my school. No papers, but a strong interest in robotics since childhood (such as nation-wide competitions)"
Ecole Polytechnique Federale De Lausanne (EPFL),Physics,Masters,"November 30, 2001",Accepted,3.90,159,,4.00,Reply about scholarship 'soon'. Any idea how long their soon takes?
Ecole Polytechnique Federale De Lausanne (EPFL),Data Science,Masters,"November 30, 2001",Rejected,,,,,Generic reject email.
Ecole Polytechnique Federale De Lausanne (EPFL),Data Science,Masters,"November 30, 2001",Accepted,3.80,161,,3.50,
Ecole Polytechnique Federale De Lausanne (EPFL),Chemical Engineering,Masters,"November 30, 2001",Rejected,3.10,,,,Generic rejection mail. Wrote them and asked for the reasoning behind it. Guess Imperial College London it is.
Ecole Polytechnique Federale De Lausanne (EPFL),Life Science Engineering,Masters,"November 30, 2001",Accepted,4.00,,,,"Very Glad got accepted to this program, Here I come :)"
Ecole Polytechnique Federale De Lausanne (EPFL),Robotics,Masters,"November 30, 2001",Rejected,,,,,Oh well.
Ecole Polytechnique Federale De Lausanne (EPFL),Computational Sciences And Engineering,Masters,"November 30, 2001",Rejected,3.60,155,,4.00,"Tier 1, Indian University, Mathematics and Computing major, relevant courses and projects Absolutely devastated"
Ecole Polytechnique Federale De Lausanne (EPFL),Molecular Biology,Masters,"November 30, 2001",Rejected,4.00,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Robotics,Masters,"November 30, 2001",Rejected,,,,,
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Data Science,Masters,"November 30, 2001",Rejected,,165,,4.00,
Ecole Polytechnique Federale De Lausanne (EPFL),Life Science Engineering,Masters,"November 30, 2001",Other,,,,,"For the acceptance of the life science engineering post below, could you share your profile? :)"
Ecole Polytechnique Federale De Lausanne (EPFL),Robotics (Excellence Fellowship),Masters,"November 30, 2001",Rejected,,,,,Fellowship denied via e-mail (but admitted into the masters).
Ecole Polytechnique Federale De Lausanne (EPFL),Robotics,Masters,"November 30, 2001",Accepted,,,,,"Accepted to Masters, but excellence fellowship not awarded"
Ecole Polytechnique Federale De Lausanne (EPFL),Chemical Engineering,Masters,"November 30, 2001",Accepted,3.86,,,,Reserve list for excellence fellowship
Ecole Polytechnique Federale De Lausanne (EPFL),Financial Engineering,Masters,"November 30, 2001",Rejected,,,,,"Really disappointed with the result, don't know what is the university looking at. Mathematics and Computer Science major from a Tier1 university in India, 9.3 CGPA (top2%). Multiple relevant projects, 2 industrial internships, and 1 research internship with a paper publication. Also, 1-year work experience at a top prop trading firm in India."
Ecole Polytechnique Federale De Lausanne (EPFL),Data Science,Masters,"November 30, 2001",Rejected,,156,,3.50,:(
Ecole Polytechnique Federale De Lausanne (EPFL),Computational Science and Engineering,Masters,"November 30, 2001",Accepted,,,,,Finally
Ecole Polytechnique Federale De Lausanne (EPFL),Life Sciences Engineering,Masters,"November 30, 2001",Accepted,,,,,"3.66/4.0 GPA, Relevant extracurricular activities in robotics and biomedical engineering, some unrelated industry experience and from a top school in Canada. Best of luck to all applicants :)"
